iter PGD FW
1 2475 0
2 2447 50
3 2417 100
4 2381 131
5 2331 160
6 2283 181
7 2236 203
8 2175 223
9 2108 237
10 2032 250
11 1946 262
12 1861 270
13 1796 278
14 1731 287
15 1654 292
16 1588 301
17 1538 311
18 1471 314
19 1416 322
20 1370 330
21 1327 332
22 1289 339
23 1246 340
24 1223 341
25 1196 343
26 1165 344
27 1151 347
28 1130 348
29 1123 351
30 1109 354
31 1099 354
32 1105 359
33 1102 363
34 1097 365
35 1084 366
36 1089 371
37 1081 372
38 1070 377
39 1077 378
40 1087 378
41 1076 381
42 1081 383
43 1088 384
44 1092 385
45 1090 387
46 1108 388
47 1117 388
48 1132 390
49 1136 393
50 1121 394
51 1108 395
52 1089 395
53 1099 398
54 1124 400
55 1150 400
56 1181 400
57 1188 400
58 1180 400
59 1179 401
60 1180 401
61 1198 403
62 1220 405
63 1249 407
64 1233 407
65 1225 409
66 1231 409
67 1240 409
68 1224 409
69 1240 410
70 1246 410
71 1249 411
72 1235 411
73 1250 411
74 1258 411
75 1253 412
76 1289 416
77 1299 416
78 1319 417
79 1308 419
80 1317 419
81 1314 419
82 1318 419
83 1347 420
84 1323 420
85 1319 421
86 1306 422
87 1306 422
88 1316 423
89 1319 423
90 1334 424
91 1298 425
92 1288 426
93 1345 426
94 1375 429
95 1351 429
96 1359 429
97 1351 431
98 1383 432
99 1364 433
100 1377 435
101 1369 436
102 1366 436
103 1347 436
104 1387 436
105 1373 437
106 1386 438
107 1389 438
108 1387 440
109 1388 442
110 1390 443
111 1393 443
112 1409 443
113 1419 443
114 1406 443
115 1400 443
116 1426 443
117 1426 443
118 1443 444
119 1455 444
120 1428 444
121 1455 444
122 1477 444
123 1487 445
124 1484 446
125 1476 446
126 1481 446
127 1458 447
128 1470 448
129 1452 449
130 1414 452
131 1418 452
132 1444 452
133 1450 452
134 1445 452
135 1488 452
136 1480 452
137 1506 453
138 1527 453
139 1512 454
140 1521 454
141 1508 455
142 1498 456
143 1490 457
144 1487 458
145 1490 458
146 1495 458
147 1504 462
148 1479 462
149 1493 462
150 1526 463
151 1514 463
152 1488 463
153 1521 463
154 1549 463
155 1543 463
156 1526 463
157 1506 463
158 1480 463
159 1506 463
160 1506 464
161 1493 465
162 1504 465
163 1499 465
164 1505 466
165 1512 467
166 1547 467
167 1513 468
168 1498 468
169 1502 468
170 1496 468
171 1521 468
172 1542 468
173 1548 469
174 1537 471
175 1496 471
176 1464 471
177 1488 473
178 1531 473
179 1470 473
180 1457 475
181 1455 475
182 1451 475
183 1485 475
184 1488 476
185 1470 477
186 1484 477
187 1475 477
188 1508 477
189 1502 477
190 1504 478
191 1490 478
192 1511 479
193 1471 479
194 1471 480
195 1510 481
