iter PGD FW
1 2388 0
2 2316 50
3 2219 100
4 2101 113
5 1981 123
6 1845 126
7 1725 129
8 1640 133
9 1576 134
10 1531 134
11 1504 136
12 1487 136
13 1486 137
14 1485 137
15 1506 137
16 1498 138
17 1500 139
18 1489 141
19 1481 142
20 1488 143
21 1493 143
22 1494 144
23 1496 144
24 1491 144
25 1504 145
26 1512 145
27 1517 145
28 1525 145
29 1518 146
30 1518 146
31 1521 146
32 1517 146
33 1509 146
34 1504 146
35 1515 146
36 1516 146
37 1526 146
38 1532 146
39 1546 146
40 1549 146
41 1559 147
42 1577 147
43 1569 147
44 1583 147
45 1593 147
46 1599 147
47 1601 147
48 1600 147
49 1596 147
50 1590 147
51 1598 147
52 1602 147
53 1599 147
54 1595 147
55 1591 147
56 1587 147
57 1593 147
58 1594 147
59 1593 147
60 1591 147
61 1595 147
62 1593 147
63 1599 147
64 1601 147
65 1600 147
66 1599 147
67 1599 147
68 1598 147
69 1601 147
70 1602 147
71 1600 147
72 1600 147
73 1608 147
74 1619 147
75 1622 147
76 1626 147
77 1630 147
78 1632 147
79 1632 147
80 1630 147
81 1628 147
82 1625 147
83 1626 147
84 1625 147
85 1625 147
86 1621 147
87 1622 147
88 1641 147
89 1641 147
90 1640 147
91 1635 147
92 1627 147
93 1630 147
94 1631 147
95 1632 147
96 1647 147
97 1641 147
98 1640 147
99 1646 147
100 1647 147
101 1648 147
102 1643 147
103 1641 147
104 1640 147
105 1648 147
106 1652 147
107 1655 147
108 1655 147
109 1645 147
110 1640 147
111 1648 147
112 1651 147
113 1652 147
114 1651 147
115 1655 147
116 1656 147
117 1655 147
118 1666 147
119 1661 147
120 1650 147
121 1667 147
122 1687 147
123 1695 147
124 1693 147
125 1688 147
126 1686 147
127 1685 147
128 1690 147
129 1690 147
130 1690 147
131 1689 147
132 1692 147
133 1694 147
134 1697 147
135 1715 147
136 1717 147
137 1717 147
138 1712 147
139 1710 147
140 1709 147
141 1714 147
142 1717 147
143 1716 147
144 1716 147
145 1719 147
146 1719 147
147 1722 147
148 1715 147
149 1714 147
150 1714 147
151 1715 147
152 1712 147
153 1714 147
154 1715 147
155 1717 147
156 1715 147
157 1719 147
158 1721 147
159 1721 147
160 1723 147
161 1722 147
162 1720 147
163 1719 147
164 1719 147
165 1722 147
166 1725 147
167 1723 147
